Name,Sex,Date,StateChange
Felix,Male,5/19/21,2
Fiona,Female,5/19/21,10
Granny,Female,5/19/21,2
Marlo,Female,5/19/21,4
Ziggy,Male,5/19/21,2
Alvin,Male,5/20/21,8
April,Female,5/20/21,10
Betty,Female,5/20/21,18
Bugs,Male,5/20/21,10
Carmen,Female,5/20/21,6
Chip,Male,5/20/21,14
Dale,Male,5/20/21,8
Dot,Female,5/20/21,14
Elsa,Female,5/20/21,14
Felix,Male,5/20/21,6
Fiona,Female,5/20/21,12
Granny,Female,5/20/21,8
Marlo,Female,5/20/21,16
Ziggy,Male,5/20/21,12
Alvin,Male,5/21/21,14
April,Female,5/21/21,16
Betty,Female,5/21/21,10
Bugs,Male,5/21/21,8
Carmen,Female,5/21/21,18
Chip,Male,5/21/21,14
Dale,Male,5/21/21,10
Dot,Female,5/21/21,4
Elsa,Female,5/21/21,10
Felix,Male,5/21/21,14
Fiona,Female,5/21/21,10
Granny,Female,5/21/21,20
Grouch,Male,5/21/21,8
Marlo,Female,5/21/21,8
Ziggy,Male,5/21/21,6
Alvin,Male,5/22/21,6
April,Female,5/22/21,18
Betty,Female,5/22/21,16
Bugs,Male,5/22/21,10
Carmen,Female,5/22/21,16
Chip,Male,5/22/21,16
Dale,Male,5/22/21,4
Dot,Female,5/22/21,8
Elsa,Female,5/22/21,10
Felix,Male,5/22/21,10
Fiona,Female,5/22/21,18
Granny,Female,5/22/21,6
Grouch,Male,5/22/21,8
Marlo,Female,5/22/21,18
Ziggy,Male,5/22/21,10
Alvin,Male,5/23/21,6
April,Female,5/23/21,10
Betty,Female,5/23/21,24
Bugs,Male,5/23/21,8
Carmen,Female,5/23/21,8
Chip,Male,5/23/21,8
Dale,Male,5/23/21,2
Dot,Female,5/23/21,8
Elsa,Female,5/23/21,10
Felix,Male,5/23/21,14
Fiona,Female,5/23/21,8
Granny,Female,5/23/21,4
Grouch,Male,5/23/21,8
Hubert,Male,5/23/21,18
Marlo,Female,5/23/21,6
Satan,Male,5/23/21,1
Ziggy,Male,5/23/21,9
Alvin,Male,5/24/21,6
April,Female,5/24/21,4
Betty,Female,5/24/21,20
Bugs,Male,5/24/21,4
Carmen,Female,5/24/21,4
Chip,Male,5/24/21,8
Dale,Male,5/24/21,6
Dot,Female,5/24/21,8
Elsa,Female,5/24/21,16
Felix,Male,5/24/21,6
Fiona,Female,5/24/21,8
Granny,Female,5/24/21,6
Grouch,Male,5/24/21,12
Hubert,Male,5/24/21,26
Marlo,Female,5/24/21,2
Satan,Male,5/24/21,1
Ziggy,Male,5/24/21,11
Alvin,Male,5/25/21,4
April,Female,5/25/21,10
Betty,Female,5/25/21,6
Bugs,Male,5/25/21,4
Carmen,Female,5/25/21,10
Chip,Male,5/25/21,8
Dale,Male,5/25/21,8
Dot,Female,5/25/21,6
Elsa,Female,5/25/21,6
Felix,Male,5/25/21,6
Fiona,Female,5/25/21,8
Granny,Female,5/25/21,10
Grouch,Male,5/25/21,2
Hubert,Male,5/25/21,10
Marlo,Female,5/25/21,10
Satan,Male,5/25/21,5
Ziggy,Male,5/25/21,5
Alvin,Male,5/26/21,2
April,Female,5/26/21,8
